badge,badge_type,brief,count,cv,follow,index_show,is_finish,media_id,play,pub_date,pub_real_time,renewal_time,score,season_id,staff,tags,title
会员抢先,0,"人理续存保障机构·迦勒底，对于仅凭魔术无法看见的世界，仅凭科学无法计算的世界进行观测，为了让已被证明会灭亡于2017年的人类史存续下去，日夜持续着活动。
人类灭亡的原因，是在历史上数个地点突然出现的“",372,"""藤丸立香：岛崎信长\n玛修·基列莱特：高桥李依\n芙芙：川澄绫子\n罗玛尼·阿基曼：铃村健一\n伊什塔尔：植田佳奈\n吉尔伽美什：关智一\n恩奇都：小林优\n梅林：樱井孝宏\n安娜：浅川悠\n牛若丸：早见沙织\n莱昂纳多·达·芬奇：坂本真绫\n武藏坊弁庆：稲田彻\n列奥尼达一世：三木真一郎""",388.5万追番,更新至第20节,0,28222061,9567.3万次播放,1570291200,1570291200,1584201603,9.4分,28320,"""原作: 奈须蘑菇／TYPE-MOON\n导演: 赤井俊文\n脚本: 武井风太\n分镜: 高雄统子\n演出: 高雄统子、原田孝宏\n音乐: 芳贺敬太、川崎龙\n人物原案: 武内崇（主人物设定）\n人物设定: 岩崎将大、高濑智章\n美术监督: 薄井久代、平栁悟\n色彩设计: 中岛和子\n总作画监督: 高濑智章\n作画监督: 岩崎将大\n摄影监督: 佐久间悠也\n剪辑: 三岛章纪\n音响监督: 岩浪美和\n制片人: 福岛祐一\n美术设计: 盐泽良宪\n副导演: 黒木美幸\n3DCG: GEMBA\n动画制作: CloverWorks""", 游戏改 奇幻 战斗 冒险,命运-冠位指定 绝对魔兽战线 巴比伦尼亚
会员专享,0,"居住在天空与海洋辉映的城镇“藤泽”的梓川咲太，就读高中二年级。
他与既是学姐又是恋人的樱岛麻衣所度过的令人雀跃的日常，随着初恋对象牧之原翔子的出现而改变。
不知为何，存在着“中学生”和“大人”两个翔子",333,"""梓川咲太：石川界人\n樱岛麻衣：濑户麻沙美\n牧之原翔子：水濑祈\n古贺朋绘：东山奈央\n双叶理央：种崎敦美\n丰浜和花：内田真礼\n梓川花枫：久保由利香""",431.6万追番,全1话,1,28223480,1035.5万次播放,1560528000,1573574400,1573632000,9.9分,28965,"""原作：鸭志田一（电击文库刊《青春猪头少年》系列）\n原作插画：沟口凯吉\n监督：增井壮一\n剧本：横谷昌宏\n角色设计：田村里美\n音乐：fox capture plan\n制作：CloverWorks \u002F 青猪 Project""", 小说改 穿越 奇幻 校园,青春猪头少年不会梦到怀梦美少女
会员专享,0,"小埋，复活！在房间无限展开的宇宙，再临……！
在外人人称羡的才色兼备“美妹”，一回到家，就变身成不为人知的一心犯懒“干物妹”……！？极尽无所事事之能事的干物妹小埋，一手可乐一手薯片，沉浸于漫画、游戏、",96,"""土间埋：田中爱美\n土间太平：野岛健儿\n海老名菜菜：影山灯\n本场切绘：白石晴香\n橘·希尔芬福特：古川由利奈\n本场猛：安元洋贵\n橘·亚力克斯：柿原彻也\n叶课长：小清水亚美""",414万追番,全12话,1,6446,1.1亿次播放,1507392000,1507392000,1514129399,9.4分,6446,"""原作：三角头（集英社《周刊YOUNG JUMP》连载）\n监督：太田雅彦\n副监督：大隈孝晴\n系列构成：青岛崇\n剧本：青岛崇\n角色设计：高野绫\n色彩设计：真壁源太\n美术监督：三宅昌和\n摄影监督：桑野贵文\n编辑：小野寺绘美\n音响监督：虾名恭范\n音乐：三泽康广\n音响制作：神南Studio\n动画制作：动画工房\n制作：《干物妹！小埋R》制作委员会""", 萌系 搞笑 日常 漫画改,干物妹！小埋R
,,作品主要讲述了某天，一款曾经掀起过大热潮的VRMMORPG「YGGDRASIL」停止了运营。游戏原本会停止一切服务，但过了结束时间后，玩家们却发现不能退出，NPC也产生了各自的思想。现实世界中喜爱电玩,79,"""飞鼠：日野聪\n雅儿贝德：原由实\n夏提雅·布拉德弗伦：上坂堇\n亚乌菈·贝拉·菲欧拉：加藤英美里\n马雷·贝罗·菲欧雷：内山夕实\n迪米乌哥斯：加藤将之\n科塞特斯：三宅健太\n塞巴斯·蒂安：千叶繁\n娜贝拉尔：沼仓爱美""",391.2万追番,全13话,1,2576,2.3亿次播放,1436198400,1436198400,1443538800,9.6分,2576,"""监督：伊藤尚往\n脚本：菅原雪絵\n分镜：小野学、伊藤尚往、川尻善昭、松村政辉\n演出：伊藤尚往、松村政辉、山口美浩、仓谷凉一\n人物设定：大久保淳二、吉松孝博\n系列构成：菅原雪絵\n美术监督：池田繁美、丸山由纪子\n色彩设计：野口幸恵\n道具设计： 大久保淳二\n总作画监督：吉松孝博\n音乐：片山修志\n摄影监督： 川下裕树\n剪辑： 木村佳史子\n动画制作：MADHOUSE""", 奇幻 战斗 小说改 架空,OVERLORD
,,故事讲述了青梅竹马之间、学生会长与不良少女之间、前辈与后辈之间、同学之间等多种不同角色的恋爱群像剧。,95,"""菅原卓郎：石川界人\n高野千鹤：水濑祈\n刚田武：前野智昭\n上根绫香：小仓唯\n赤木正文：小野贤章\n梶亮子：佐仓绫音\n高濑春彦：熊谷健太郎\n神田沙希：三宅晴佳\n皆川由纪：花泽香菜\n古屋纯：天崎滉平\n古屋萤：户松遥\n香取慎一：浪川大辅 \n汤川英树：小野大辅\n笹原五月：内田真礼""",406.7万追番,全12话,1,6312,9873.6万次播放,1499097600,1499097600,1505831400,9.7分,6312,"""原作：若林稔弥（周刊少年Magazine连载\u002F讲谈社）\n监督：金子拓\n助监督：笔坂明规\n系列构成、剧本：浦畑达彦\n角色设计、总作画监督：住本悦子\n美术：佐藤胜\n色彩设计：铃木依里\n摄影：加藤伸也\n编辑：斋藤朱里\n音响监督：立石弥生\n音乐：天门\n动画制作：Studio五组\n制作：NAS、徒然喜欢你制作委员会""", 恋爱 校园 漫画改 搞笑,徒然喜欢你
,,时为2138年。曾卷起一大风潮的虚拟现实体感型网络游戏《YGGDRASIL》即将迎来停服。玩家飞鼠在曾经以同伴和荣华自傲的根据地纳萨力克地下大坟墓，独自一人安静等待着那一刻。但是，不料发生了结束时间已,268,"""安兹：日野聪\n雅儿贝德：原由实\n夏提雅：上坂堇\n亚乌菈：加藤英美里\n马雷：内山夕实\n迪米乌哥斯：加藤将之\n科塞特斯：三宅健太\n塞巴斯：千叶繁\n娜贝拉尔：沼仓爱美""",423.3万追番,全13话,1,8792,2.2亿次播放,1515427200,1515427200,1522767600,9.6分,21466,"""原作：丸山くがね（《OVERLORD》\u002FKADOKAWA刊）\n角色原案：so-bin\n监督：伊藤尚往\n系列构成：菅原雪绘\n角色设计：田崎聪、吉松孝博\n动画制作：MADHOUSE""", 小说改 奇幻 战斗 魔法,OVERLORDⅡ
会员专享,0,在众多将要展开「玫瑰色」生活的高中生之中，本作的男主角折木奉太郎却是一个「灰色」的节能主义者。凡是没必要的事就不做，因为不想后悔，被人说是疏离、厌世也无所谓，因为这就是他的作风。这样的折木奉太郎，却因,371,"""折木奉太郎：中村悠一\n千反田爱瑠：佐藤聪美\n福部里志：阪口大助\n伊原摩耶花：茅野爱衣\n折木供惠：雪野五月\n远垣内将司：置鲇龙太郎\n入须冬实：由加奈\n糸鱼川养子：小山茉美\n十文字嘉保：早见沙织""",406.2万追番,全22话,1,3398,5508.7万次播放,1335024000,1335024000,1457417913,9.8分,3398,"""原作 \u002F 构成协力：米澤穂信「古典部シリーズ」(角川文庫)\n监督：武本康弘\n系列构成：賀東招二\n角色原案 \u002F 角色设计 \u002F 总作画监督：西屋太志\n色彩设计：石田奈央美\n美术监督：奥出修平\n摄影监督：中上竜太\n设定：唐田洋\n编集：重村建吾(楽音舎)\n音响监督：鶴岡陽太\n音乐：田中公平\n音乐制作：ランティス（Lantis）\n动画制作：京都アニメーション（京都动画）\n制作协力：アニメーションDo（Animation Do）""", 恋爱 推理 校园 日常,冰菓
会员专享,0,【本片翻译由版权方提供】“这里是哪儿”察觉到的时候，桐人不知为什么陷入了庞大的幻想风格虚拟世界。登录前的记忆模糊不清，只得在周围徘徊寻找线索。之后，他同一名少年相遇了。“我的名字是尤吉欧。请多关照，桐,750,"""桐人（桐谷和人）：松冈祯丞\n亚丝娜（结城明日奈）：户松遥\n爱丽丝：茅野爱衣\n尤吉欧：岛崎信长\n赛鲁卡：前田佳织里\n罗妮耶·亚拉贝尔：近藤玲奈\n蒂洁·修特利尼：石原夏织\n神代凛子：小林沙苗\n菊冈诚二郎：森川智之\n莱欧斯·安提诺斯：岩濑周平\n温贝尔·吉泽克：木岛隆一\n索尔狄丽娜·塞路尔特：潘惠美\n沃罗·利凡玎：村田太志\n诗乃（朝田诗乃）：泽城美雪 \n强尼·布莱克（金本敦）：逢坂良太 \n西莉卡（绫野珪子）：日高里菜 \n莉兹贝特（筱崎里香）：高垣彩阳""",414.7万追番,全24话,1,130412,1.4亿次播放,1538841600,1538841600,1553963400,8.3分,25510,"""原作：川原砾\n原作插画 \u002F 角色设计草案：abec\n导演：小野学\n助理导演：佐久间贵史\n角色设计：足立慎吾、铃木豪、西口智也\n总作画监督：铃木豪、西口智也\n动作作画监督：菅野芳弘、竹内哲也\n美术导演：小川友佳子、渡边佳人\n美术设定：森冈贤一、谷内优穗\n色彩设计：中野尚美\nCG导演：云藤隆太\n音响导演：岩浪美和\n效果：小山恭正\n音响制作：ソニルード\n音乐：梶浦由记\n制片：EGG FIRM、Straight Edge\n制作：A-1 Pictures""", 小说改 热血 奇幻 战斗,刀剑神域 Alicization
,,"时间为2138年。曾卷起一大风潮的虚拟现实体感型网络游戏《YGGDRASIL》即将迎来停服。玩家飞鼠在曾经以同伴和荣华自傲的根据地纳萨力克地下大坟墓，独自一人安静等待着那一刻。
但是，不料发生了“过了",548,"""安兹：日野聪\n雅儿贝德：原由实\n夏提雅：上坂堇\n亚乌菈：加藤英美里\n马雷：内山夕实\n迪米乌哥斯：加藤将之\n科塞特斯：三宅健太\n塞巴斯：千叶繁\n威克提姆：东山奈央\n由莉：五十岚裕美\n露普丝雷其娜：小松未可子\n娜贝拉尔：沼仓爱美\n希丝：濑户麻沙美\n索留香：佐仓绫音\n安特玛：真堂圭\n扎里尤斯：东地宏树\n沙斯林：楠见尚己\n库鲁雪：雨宫天\n泽贝鲁：石井康嗣\n拉娜：安野希世乃\n克莱姆：逢坂良太\n葛杰夫：白熊宽嗣\n布莱恩：游佐浩二\n拉裘丝：小清水亚美\n格格兰：齐藤贵美子\n依比鲁艾：花守由美里\n缇亚：石上静香\n缇娜：富田美忧\n琪雅蕾：嶋村侑\n吉尔克尼弗：樱井孝宏\n福鲁达：土师孝也""",435.3万追番,全13话,1,102252,2.2亿次播放,1531152000,1531152000,1538490600,9.4分,24596,"""原作：丸山くがね（《OVERLORD》\u002FKADOKAWA刊）\n角色原案：so-bin\n监督：伊藤尚往\n系列构成：菅原雪绘\n角色设计：田崎聪、吉松孝博\n次要角色设计、怪物设计、道具设计：今村大树、杉浦幸次、出云重机、铃木政彦、前原桃子\n美术监督：池田繁美、丸山由纪子（ATELIER MUSA）\n美术设定：友野加世子、大久保修一（ATELIER MUSA）\n色彩设计：堀川佳典\n3D监督：田中康隆\n摄影监督：继冈梦月\n编辑：冢常真理子\n音响监督：乡文裕贵\n音响制作：grooove\n音乐：片山修志（Team-MAX）\n音乐制作：KADOKAWA\n动画制作：MADHOUSE""", 小说改 奇幻 智斗 战斗,OVERLORD Ⅲ
会员专享,0,于日本县立学文高中之中，有一名叫坂本的全能高中生，平常总是用著各种超乎常理的无厘头行为来完成各种琐事，导致周遭所有女性同学都对他钦佩绝倒，同时也引起所有男性同学的无限嫉妒。但不管面对其他人如何刁难，坂,71,"""坂本：绿川光\n濑良裕也：森久保祥太郎\n久保田吉伸：石田彰\n黑沼爱菜：堀江由衣\n8823：游佐浩二\n久保田茂美：鲸（松本和香子）\n藤田惠：中原麻衣\n深濑：岩田光央\nKenken：桧山修之\nMario..""",465.6万追番,全13话,1,3450,1.7亿次播放,1460044800,1460044800,1475935210,9.1分,3450,"""原作：佐野菜见\n监督：高松信司\n角色设计：中岛敦子\n撮影监督：酒井淳子\n色彩设计：佐野ひとみ\n美术监督：武藤正敏\n编集：松原理恵\n音乐：福田裕彦\n音乐制作：King Records\n音响制作：DAX Production\n动画制作：Studio DEEN""", 搞笑 校园 日常,在下坂本，有何贵干？
